Year,OccupationalCategory,Men,Women,Percentage
2000,Furnace kiln oven drier and kettle operators and tenders,33323,21455,64.4
2000,Inspectors testers sorters samplers and weighers,35873,23507,65.5
2000,Jewelers and precious stone and metal workers,28634,20324,71
2000,Medical dental and ophthalmic laboratory technicians,32125,23519,73.2
2000,Packaging and filling machine operators and tenders,24695,19560,79.2
2000,Painting workers,29006,21323,73.5
2000,Photographic process workers and processing machine operators,27912,19617,70.3
2000,Semiconductor processors,35759,28800,80.5
2000,Cementing and gluing machine operators and tenders,26389,20040,75.9
2000,Cleaning washing and metal pickling equipment operators and tenders,26836,21473,80
2000,Cooling and freezing equipment operators and tenders,35865,22243,0
2000,Etchers and engravers,30758,20647,67.1
2000,Molders shapers and casters except metal and plastic,28237,20032,70.9
2000,Paper goods machine setters operators and tenders,39447,21708,55
2000,Tire builders,40727,36750,90.2
2000,Helpers--production workers,23835,21224,89
2000,Production workers all other,29912,21456,71.7
2000,Transportation and material moving occupations:,30696,21259,69.3
2000,Supervisors transportation and material moving workers,37988,29844,78.6
2000,Aircraft pilots and flight engineers,64607,43393,67.2
2000,Air traffic controllers and airfield operations specialists,66992,56478,84.3
2000,Ambulance drivers and attendants except emergency medical technicians,25367,21229,83.7
2000,Bus drivers,31095,21656,69.6
2000,Driver/sales workers and truck drivers,32039,22498,70.2
2000,Taxi drivers and chauffeurs,22885,18587,81.2
2000,Motor vehicle operators all other,26938,16332,60.6
2000,Locomotive engineers and operators,55804,46374,83.1
2000,Railroad brake signal and switch operators,47731,38750,0
2000,Railroad conductors and yardmasters,52132,38767,74.4
2000,Subway streetcar and other rail transportation workers,41831,36863,88.1
2000,Sailors and marine oilers,31047,26117,0
2000,Ship and boat captains and operators,43023,30554,0
2000,Ship engineers,45162,57188,0
2000,Bridge and lock tenders,38462,19304,0
2000,Parking lot attendants,19857,16749,84.4
2000,Service station attendants,18964,15286,80.6
2000,Transportation inspectors,43001,31043,72.2
2000,Other transportation workers,31564,29074,92.1
2000,Conveyor operators and tenders,31191,26502,85
2000,Crane and tower operators,39696,36308,91.5
2000,Dredge excavating and loading machine operators,31704,26061,82.2
2000,Hoist and winch operators,32155,26047,0
2000,Industrial truck and tractor operators,26836,25520,95.1
2000,Cleaners of vehicles and equipment,20923,18528,88.6
2000,Laborers and freight stock and material movers hand,26254,20794,79.2
2000,Machine feeders and offbearers,26441,20213,76.4
2000,Packers and packagers hand,21277,17956,84.4
2000,Pumping station operators,36518,40625,111.2
2000,Refuse and recyclable material collectors,26510,21718,81.9
2000,Shuttle car operators,31317,21484,0
2000,Tank car truck and ship loaders,31635,17955,0
2000,Material moving workers all other,31598,23627,74.8
2015,Total full-time year-round civilian workers 16 years and over,48520,38233,78.8
2015,Management  Business Science and Arts Occupations:,72695,52237,71.9
2015,Management Business and Financial Occupations:,76495,56417,73.8
2015,Management Occupations:,79836,59964,75.1
2015,Chief executives,126142,95921,76
2015,General and operations managers,81041,60759,75
2015,Legislators,71530,65325,91.3
2015,Advertising and promotions managers,75190,55860,74.3
2015,Marketing and sales managers,91998,65040,70.7
2015,Public relations and fundraising managers,90071,66052,73.3
2015,Administrative services managers,66579,55079,82.7
2015,Computer and information systems managers,101318,90940,89.8
2015,Financial managers,90278,57406,63.6
2015,Compensation and benefits managers,97552,68207,0
2015,Human resources managers,75328,64662,85.8
2015,Training and development managers,80754,71091,88
2015,Industrial production managers,74623,65033,87.1
2015,Purchasing managers,81528,62785,77
2015,Transportation storage and distribution managers,52017,52259,100.5
2015,Farmers ranchers and other agricultural managers,41691,25310,60.7
2015,Construction managers,69556,62198,89.4
2015,Education administrators,78115,60580,77.6
2015,Architectural and engineering managers,121690,113507,93.3
2015,Food service managers,41164,31578,76.7
